epoch,module,reward,obstacles,time
87,Finish,79.00000000,1,79
87,Obstacle,-42.00000000,42,999
87,Finish + Obstacle,78.00000000,1,81
88,Finish,79.00000000,4,81
88,Obstacle,-19.00000000,19,999
88,Finish + Obstacle,78.00000000,1,79
89,Finish,79.00000000,1,79
89,Obstacle,-46.00000000,46,999
89,Finish + Obstacle,76.00000000,3,81
90,Finish,79.00000000,5,80
90,Obstacle,-29.00000000,29,999
90,Finish + Obstacle,78.00000000,1,79
91,Finish,79.00000000,4,80
91,Obstacle,-41.00000000,41,999
91,Finish + Obstacle,77.00000000,2,80
92,Finish,79.00000000,1,79
92,Obstacle,-40.00000000,40,999
92,Finish + Obstacle,76.00000000,3,81
93,Finish,79.00000000,5,79
93,Obstacle,-22.00000000,22,999
93,Finish + Obstacle,77.00000000,2,80
94,Finish,79.00000000,1,79
94,Obstacle,-28.00000000,28,999
94,Finish + Obstacle,76.00000000,3,79
95,Finish,79.00000000,0,82
95,Obstacle,-26.00000000,26,999
95,Finish + Obstacle,79.00000000,0,79
96,Finish,79.00000000,2,79
96,Obstacle,-41.00000000,41,999
96,Finish + Obstacle,78.00000000,1,79
97,Finish,79.00000000,2,79
97,Obstacle,-20.00000000,20,999
97,Finish + Obstacle,75.00000000,4,80
98,Finish,79.00000000,2,79
98,Obstacle,-24.00000000,24,999
98,Finish + Obstacle,78.00000000,1,79
99,Finish,79.00000000,2,79
99,Obstacle,-77.00000000,77,999
99,Finish + Obstacle,76.00000000,3,81
100,Finish,79.00000000,4,80
100,Obstacle,0.00000000,0,999
100,Finish + Obstacle,76.00000000,3,79
101,Finish,79.00000000,6,81
101,Obstacle,-33.00000000,33,999
101,Finish + Obstacle,79.00000000,0,81
102,Finish,79.00000000,3,79
102,Obstacle,-20.00000000,20,999
102,Finish + Obstacle,75.00000000,4,82
103,Finish,79.00000000,1,80
103,Obstacle,-9.00000000,9,999
103,Finish + Obstacle,78.00000000,1,79
104,Finish,79.00000000,2,81
104,Obstacle,-39.00000000,39,999
104,Finish + Obstacle,78.00000000,1,79
105,Finish,79.00000000,3,82
105,Obstacle,-35.00000000,35,999
105,Finish + Obstacle,78.00000000,1,79
106,Finish,79.00000000,1,79
106,Obstacle,-30.00000000,30,999
106,Finish + Obstacle,78.00000000,1,79
107,Finish,79.00000000,0,80
107,Obstacle,-18.00000000,18,999
107,Finish + Obstacle,75.00000000,4,79
108,Finish,79.00000000,2,81
108,Obstacle,-27.00000000,27,999
108,Finish + Obstacle,79.00000000,0,80
109,Finish,79.00000000,3,82
109,Obstacle,-61.00000000,61,999
109,Finish + Obstacle,78.00000000,1,79
110,Finish,79.00000000,1,81
110,Obstacle,-33.00000000,33,999
110,Finish + Obstacle,77.00000000,2,81
111,Finish,79.00000000,2,80
111,Obstacle,-36.00000000,36,999
111,Finish + Obstacle,77.00000000,2,80
112,Finish,79.00000000,0,80
112,Obstacle,-26.00000000,26,999
112,Finish + Obstacle,76.00000000,3,79
113,Finish,79.00000000,1,79
113,Obstacle,-77.00000000,77,999
113,Finish + Obstacle,77.00000000,2,79
114,Finish,79.00000000,3,79
114,Obstacle,-56.00000000,56,999
114,Finish + Obstacle,74.00000000,5,81
115,Finish,79.00000000,4,80
115,Obstacle,0.00000000,0,999
115,Finish + Obstacle,77.00000000,2,79
116,Finish,79.00000000,2,79
116,Obstacle,-56.00000000,56,999
116,Finish + Obstacle,78.00000000,1,81
117,Finish,79.00000000,3,82
117,Obstacle,-31.00000000,31,999
117,Finish + Obstacle,78.00000000,1,83
118,Finish,79.00000000,0,81
118,Obstacle,-17.00000000,17,999
118,Finish + Obstacle,77.00000000,2,79
119,Finish,79.00000000,2,79
119,Obstacle,-28.00000000,28,999
119,Finish + Obstacle,75.00000000,4,79
120,Finish,79.00000000,3,79
120,Obstacle,-55.00000000,55,999
120,Finish + Obstacle,77.00000000,2,81
121,Finish,79.00000000,1,81
121,Obstacle,-25.00000000,25,999
121,Finish + Obstacle,77.00000000,2,80
122,Finish,79.00000000,1,82
122,Obstacle,-37.00000000,37,999
122,Finish + Obstacle,74.00000000,5,81
123,Finish,79.00000000,1,82
123,Obstacle,-23.00000000,23,999
