combined	obstacle	finish
0.86258626	1.60975610	88.09590959
0.99569957	1.72992701	87.65696570
0.89448945	1.86206897	87.03540354
0.98469847	1.74074074	87.23672367
0.87468747	2.20481928	87.17621762
0.89778978	1.96153846	87.05630563
0.89008901	1.67567568	86.19161916
0.87248725	1.68965517	85.06070607
0.81418142	1.44247788	87.70867087
0.46544654	1.84745763	85.91769177
0.83288329	1.80645161	86.16521652
0.96049605	1.88495575	86.47984798
0.94399440	2.29870130	84.39073907
0.98139814	1.88495575	86.16521652
0.83288329	1.47169811	86.19051905
0.76027603	1.63291139	85.80658066
0.74597460	1.95238095	86.14651465
0.77017702	2.03092784	85.84838484
0.98799880	1.74626866	87.49524952
0.97699770	1.72463768	87.30273027
0.91539154	1.64935065	87.06400640
0.57765777	1.96153846	85.81758176
0.92859286	1.70921986	88.49084908
0.89118912	2.02040816	89.26202620
0.95609561	1.75757576	86.18611861
0.77897790	1.69444444	85.66686669
0.75477548	1.70422535	86.05960596
0.92419242	1.70422535	87.80328033
0.92419242	1.82644628	85.28952895
0.87908791	1.93457944	86.19931993
0.87358736	1.84745763	84.97599760
0.80978098	2.13636364	87.64926493
0.97589759	1.70422535	86.55465547
0.81748175	1.93457944	87.62946295
0.94399440	1.89285714	85.49084908
0.99569957	1.62500000	83.73287329
0.97039704	1.54054054	86.37203720
0.64036404	1.59171598	86.63716372
0.85048505	1.90090090	85.22792279
0.86258626	1.84745763	87.12781278
0.77457746	1.84033613	86.23012301
0.82518252	2.17647059	86.52055206
0.79217922	1.98039216	87.22682268
1.00010001	1.99009901	86.73067307
0.97479748	1.76335878	85.83188319
0.95719572	1.90909091	87.69106911
0.93849385	1.80645161	85.45894589
0.96929693	1.58479532	88.34233423
0.90879088	1.70422535	86.55685569
0.92969297	1.81300813	86.79998000
0.98249825	1.90090090	84.46994699
0.94949495	1.82644628	85.37423742
0.88568857	1.57142857	87.44134413
0.99019902	1.75187970	84.93419342
0.96599660	1.78740157	88.21362136
0.91429143	1.68965517	87.32473247
0.90659066	2.09890110	85.20042004
0.92309231	1.63694268	84.26642664
0.96709671	1.92592593	88.04090409
0.85158516	1.67567568	87.29942994
0.83728373	1.73529412	87.89678968
0.89888989	1.75757576	87.42044204
0.91979198	2.00000000	84.76807681
0.93079308	1.82644628	85.99469947
0.86258626	2.04166667	87.51505151
0.78667867	1.90090090	85.58435844
0.88018802	2.05263158	88.55795580
0.97369737	1.65359477	88.09370937
0.93409341	2.05263158	84.74277428
0.91209121	1.62500000	86.82418242
0.91429143	1.84745763	86.36433643
0.94399440	1.67114094	86.92759276
0.86918692	1.70921986	85.14871487
0.88348835	1.91743119	84.82748275
0.91319132	1.77519380	82.78897890
0.85158516	1.81300813	85.05740574
0.96929693	2.07526882	86.60966097
0.94289429	1.78125000	86.48754875
0.89778978	1.76335878	85.37313731
0.94619462	1.74074074	85.54475448
0.88788879	1.95238095	86.08380838
0.95829583	1.86956522	85.83848385
0.92749275	1.69930070	88.22902290
0.91759176	1.72992701	85.68226823
0.94729473	1.64935065	87.61186119
0.98799880	1.71942446	86.35443544
0.98909891	1.70422535	86.48314831
0.98579858	1.66666667	85.66246625
0.23002300	1.71428571	87.79998000
0.93519352	2.04166667	85.60196020
0.90659066	2.14942529	87.46554655
0.90769077	1.75757576	88.23672367
0.82518252	1.87719298	85.50625063
0.96709671	1.99009901	84.72077208
0.89888989	1.54347826	85.95069507
0.90879088	1.83333333	86.52055206
0.79987999	1.84745763	85.75377538
0.75697570	1.72992701	86.42704270
0.68766877	1.56818182	86.51175118
0.85378538	1.64935065	85.53265327
0.87028703	1.90909091	87.76807681
0.67006701	1.45662100	86.22462246
0.86148615	2.05263158	86.18721872
0.84718472	1.54054054	84.79887989
0.84058406	1.75757576	87.73947395
0.80428043	1.79365079	85.50185019
0.82408241	1.74074074	86.43144314
0.77787779	2.01010101	86.30163016
0.70527053	2.04166667	87.57445745
0.90109011	1.98039216	85.48094809
0.98249825	1.56179775	86.93639364
0.92859286	1.61728395	85.37643764
0.95389539	1.92592593	86.35883588
0.96599660	1.91743119	85.71527153
0.86368637	1.86206897	87.13991399
0.99899990	1.75757576	86.70097010
0.89118912	1.86206897	87.41054105
0.92529253	1.69930070	86.45784578
0.92199220	1.80645161	86.81098110
0.98909891	1.67567568	85.10471047
0.93189319	1.65359477	86.46004600
1.00010001	1.54054054	86.90779078
